time,clean_time,reduction
2018-05-17 14:00,1509,17241.89948
2018-05-18 10:00,1532,19198.18237
2018-05-25 15:00,1679,15107.35667
2018-06-01 15:00,1816,31684.67591
2018-06-12 15:00,202,6343.101039
2018-06-19 15:00,331,38838.58835
2018-06-26 15:00,467,30875.09334
2018-07-03 15:00,592,21498.81551
2018-07-10 15:00,665,28855.93103
2018-07-24 15:00,188,11586.64282
2018-08-07 15:00,422,35189.2014
2018-08-13 14:00,533,11652.32137
2018-09-11 16:00,430,15379.78587
2018-09-28 15:00,713,33002.18722
2018-10-23 15:00,394,7720.254245
2018-11-23 15:00,961,5381.451728
2018-12-11 15:00,333,1952.663828
2019-01-15 15:00,1037,31922.719
2019-01-29 15:00,1296,40428.37303
2019-02-12 15:00,1513,28177.77037
2019-02-26 15:00,1812,560.555648
2019-03-08 10:00,1992,11523.56933
2019-04-02 15:00,401,40230.59409
2019-04-19 16:00,755,4525.268177
2019-05-08 15:00,373,28525.20947
2019-05-28 15:00,241,27455.86078
2019-06-21 15:00,483,10858.98109
